OBJECT,MJD,RV,HALPHA_INDEX,ERR_HALPHA_INDEX,S_INDEX,ERR_SINDEX,logRHK_INDEX,ERR_logRHK_INDEX,NAI_INDEX,ERR_NAI_INDEX,SHIFT_BARICENTRO_HALPHA,ERR_SHIFT_BAR_HALPHA,SHIFT_BARICENTRO_K,ERR_SHIFT_BAR_K,SHIFT_BARICENTRO_H,ERR_SHIFT_BAR_H,ERR_SHIFT_BAR_D2,ERR_SHIFT_BAR_D2_2,SHIFT_BARICENTRO_D1_2,ERR_SHIFT_BAR_D1_2,MEAN_SLOPE_HALPHA,SIGMA_SLOPE_HALPHA,MEAN_SLOPE_K,SIGMA_SLOPE_K,MEAN_SLOPE_H,SIGMA_SLOPE_H,MEAN_SLOPE_D2,SIGMA_SLOPE_D2,MEAN_SLOPE_D1,SIGMA_SLOPE_D1,DISK_PRESENCE,STy
Gl581,55307.25,-9.73,-0.010817,1.25E-4,0.013504,0.06375,-6.212006,6.882199,0.07226,0.026254,-1.346965,0.258452,-0.243317,1.015621,-0.450838,0.955188,1.00388,0.102662,-0.244617,0.257468,2.041405,0.324728,-30.964692,17.811891,-10.423,4.085911,1.776828,1.270626,12.169413,2.451448,1,63.0
Gl581,55306.257,-9.75,-0.009798,1.53E-4,0.01414,0.075829,-6.274124,9.797773,0.066059,0.032003,-1.496257,0.349138,1.183454,1.226593,0.181716,1.161069,2.768781,0.199785,-0.0525,0.197038,2.767828,0.409939,-41.019993,7.478661,12.067297,7.290012,0.428007,1.121456,11.546124,2.985098,1,63.0
Gl581,54700.981,-9.73,-0.011715,1.08E-4,0.017969,0.062655,-5.781916,2.836072,0.070954,0.03142,-0.649286,0.21139,-0.265513,0.868215,0.979842,1.218773,1.664469,0.180133,-0.16422,0.470564,3.245038,0.42858,4.298439,5.701843,-9.695098,2.710725,1.031008,1.837557,4.141621,3.235065,1,63.0
Gl581,53152.202,-9.76,-0.012916,1.2E-4,0.015729,0.067302,-6.097097,4.959024,0.073301,0.029477,-1.036671,0.19051,0.160249,0.927971,0.820329,0.746365,0.414042,0.197384,-0.240138,0.230021,3.244771,0.429417,-16.704196,9.505618,-14.628022,6.580685,-1.460196,0.968212,5.001668,2.465231,1,63.0
Gl581,55406.991,-9.75,-0.012373,8.9E-5,0.018402,0.072643,-5.850798,3.236511,0.074501,0.028685,-0.923153,0.183713,0.571241,1.26878,0.139507,0.939263,2.089962,0.222241,-0.241219,0.32606,2.61872,0.454913,-20.072373,14.972338,-10.296132,7.875736,3.366251,2.595717,30.467192,8.195665,1,63.0
Gl581,55634.329,-9.75,-0.011784,1.33E-4,0.014727,0.068555,-6.355826,10.927098,0.072494,0.049271,-1.182511,0.242054,1.007295,0.943734,0.294115,0.771134,0.429941,0.326441,-0.207904,0.435544,2.037992,0.400954,-68.048584,7.658564,18.530288,4.088681,4.659976,1.447063,3.859738,3.367771,1,63.0
Gl581,54300.111,-9.75,-0.010581,1.24E-4,0.011923,0.062939,-6.383374,10.497134,0.075915,0.064485,-1.659669,0.25158,-0.643855,1.151254,0.353356,1.02787,1.276472,0.273607,-0.199158,0.231092,2.798821,0.616115,-22.285187,1.639412,,,8.233521,1.345869,12.930179,2.724096,1,63.0
Gl581,54341.983,-9.72,-0.011587,1.05E-4,0.015429,0.055071,-6.057624,4.803667,0.06053,0.074345,-1.167726,0.211401,-0.212395,1.005557,0.508865,0.977693,3.732357,0.20928,-0.248598,0.326887,2.641722,0.39994,9.938482,8.919792,-1.351521,2.367611,10.81997,1.080397,13.912187,2.641323,1,63.0
Gl581,55695.117,-9.73,-0.010619,1.15E-4,0.012219,0.084482,-6.291938,9.92712,0.070281,0.04136,-1.560733,0.222885,-0.509182,1.369622,-0.580091,1.102139,0.714301,0.400594,0.065249,0.268595,2.568631,0.526541,10.054939,2.668724,-16.138307,4.375257,1.542379,1.484749,6.36729,3.704596,1,63.0
Gl581,54935.181,-9.75,-0.011481,1.42E-4,0.015798,0.055904,-5.96916,3.86603,0.076904,0.055301,-1.327625,0.324642,-0.397601,0.699992,0.392376,0.755652,0.632023,0.282956,-0.178376,0.286718,2.42981,0.419764,16.701256,10.952376,14.817208,3.953929,3.24975,2.185445,7.464086,2.957905,1,63.0
Gl581,54200.401,-9.75,-0.011092,1.0E-4,0.013832,0.062548,-6.191991,7.058639,0.068745,0.053626,-0.952492,0.198843,0.241258,0.907172,-0.127621,1.113636,0.264357,0.174033,-0.202767,0.15078,2.354737,0.391325,-48.059941,6.801742,-23.77261,4.426054,-1.12545,1.389321,14.65227,2.242675,1,63.0
Gl581,54993.101,-9.75,-0.011371,9.8E-5,0.02284,0.054011,-5.75123,2.349478,0.079289,0.027449,-1.357418,0.225331,-0.756729,0.754869,0.285105,0.663947,0.082324,0.335598,-0.058245,0.31174,2.903689,0.554149,0.269839,14.754876,-138.682769,13.17875,6.26355,2.426292,4.613394,2.096032,1,63.0
Gl581,55292.333,-9.74,-0.008666,1.37E-4,0.017026,0.05161,-5.882303,3.031555,0.06596,0.068097,-1.253938,0.334685,-0.675239,0.678587,0.854686,1.036199,0.532502,0.197302,-0.019183,0.34504,2.239345,0.32673,46.679858,12.240295,-29.465714,5.267964,5.006568,1.456656,6.3971,2.804211,1,63.0
Gl581,54588.329,-9.73,-0.0111,1.19E-4,0.018646,0.062625,-5.822381,2.735848,0.077092,0.030477,-1.201652,0.239545,-0.341009,0.873746,0.441831,0.909315,2.155759,0.173855,-0.22779,0.196321,2.947476,0.519302,13.400119,19.496742,-25.734067,17.265435,-2.667497,0.542021,-3.526198,1.731917,1,63.0
Gl581,55049.009,-9.75,-0.011139,1.44E-4,0.01335,0.06598,-6.180306,6.898897,0.076303,0.030421,-0.719864,0.27949,0.404947,0.754689,-0.282204,1.165611,0.131325,0.117713,-0.343184,0.408827,2.547368,0.648386,-12.490192,8.304145,-13.155615,4.798894,2.508523,1.155576,3.556283,2.908925,1,63.0
Gl581,55298.224,-9.75,-0.008692,1.5E-4,0.013698,0.049894,-6.266388,7.913595,0.074707,0.047589,-1.636071,0.340139,-0.189196,1.113567,1.370795,0.832576,1.410094,0.377834,0.063539,0.370674,1.920438,0.242133,-28.71522,2.632982,3.674767,3.794474,2.457847,1.184776,-2.140366,2.525463,1,63.0
Gl581,55693.246,-9.74,-0.010691,1.23E-4,0.012712,0.068515,-6.315494,9.138501,0.068879,0.06777,-1.615041,0.235825,-0.033102,1.077531,1.400033,0.728807,1.758136,0.159013,-0.356107,0.397216,2.776235,0.470991,1.587292,7.665677,-24.705108,6.748015,-1.82457,0.249342,2.01304,1.775566,1,63.0
Gl581,54589.316,-9.74,-0.010531,1.26E-4,0.015544,0.051308,-5.927401,3.653004,0.075023,0.044947,-1.512003,0.265505,2.550769,1.091996,0.603899,0.924264,0.777726,0.164765,-0.127028,0.349572,1.809539,0.338241,-9.74093,13.87373,-7.222657,4.195348,-2.936349,0.311556,-3.385034,1.890369,1,63.0
Gl581,55294.264,-9.77,-0.009136,9.9E-5,0.01514,0.054222,-6.064059,4.696361,0.06881,0.052476,-1.584606,0.25366,-0.120873,0.71261,1.061075,0.678529,0.919055,0.273953,-0.249339,0.406939,2.197787,0.331698,7.967966,6.982236,-19.035185,3.943458,7.700027,4.3431,-0.065267,3.2917,1,63.0
Gl581,55684.163,-9.73,-0.011434,1.19E-4,0.013869,0.06776,-6.125404,5.804195,0.074049,0.02937,-1.136993,0.244103,-0.197905,1.079211,1.111381,0.949468,0.859795,0.260241,-0.01223,0.228562,2.562875,0.447866,-17.25014,2.544333,-16.883693,0.677361,-3.471781,0.746034,2.709085,1.632435,1,63.0
Gl581,53870.186,-9.74,-0.013381,1.4E-4,0.016459,0.055801,-6.088175,5.80318,0.079274,0.052821,-0.82666,0.273652,0.709878,0.678188,0.446959,0.637583,0.600537,0.377652,-0.020266,0.321399,3.1606,0.451497,-11.834868,20.966889,-29.788177,8.042391,4.159874,1.483542,7.50282,3.032759,1,63.0
Gl581,54202.373,-9.73,-0.011456,1.22E-4,0.013836,0.0539,-6.279578,8.14215,0.07257,0.046004,-1.365897,0.207746,-1.026051,0.835939,0.836609,0.844882,0.676518,0.222868,-0.188391,0.286611,2.91248,0.511352,-21.384287,4.928316,-35.179026,12.104384,0.069095,2.846212,3.479519,2.647257,1,63.0
Gl581,55452.985,-9.73,-0.01174,1.2E-4,0.014512,0.091593,-6.19424,8.792896,0.071626,0.051175,-1.130213,0.245785,-0.141901,1.454552,0.636492,1.459308,1.710704,0.278996,0.017194,0.165937,2.400073,0.505631,39.925145,7.661704,-1.271791,1.595174,4.207229,0.620101,7.248234,2.133071,1,63.0
Gl581,54938.26,-9.75,-0.011664,1.14E-4,0.016796,0.055233,-5.894976,3.205997,0.072156,0.040489,-1.353816,0.208911,0.512506,0.9052,0.913753,0.896226,1.27867,0.202787,-0.321275,0.336707,2.659343,0.486631,18.112907,2.186946,-5.150642,6.04043,-1.027196,2.241074,7.885636,6.178705,1,63.0
Gl581,54295.131,-9.76,-0.010564,1.31E-4,0.012956,0.06863,-6.293069,8.244332,0.082903,0.046262,-1.387317,0.340344,-0.950293,0.813372,0.615893,1.156641,2.049578,0.283801,-0.084281,0.239365,2.221319,0.386435,-48.414109,3.838893,-14.772924,2.982734,9.645059,1.968776,8.850234,1.79789,1,63.0
Gl581,55435.979,-9.74,-0.010466,1.02E-4,0.012348,0.070434,-6.543379,15.073084,0.069247,0.03439,-1.453187,0.223309,0.830911,1.228369,0.725068,0.998479,0.358107,0.266956,0.008787,0.22934,2.078942,0.402751,20.849214,6.559977,-19.564382,7.236375,7.773335,3.316271,4.534827,2.483349,1,63.0
Gl581,54320.038,-9.74,-0.012037,1.06E-4,0.015459,0.047129,-6.097314,5.387182,0.065874,0.031407,-1.038161,0.216442,1.11459,0.802929,0.481634,1.026924,1.676692,0.201101,-0.124585,0.156192,2.257857,0.405611,0.938592,14.495637,-18.439558,3.409785,2.952293,2.077697,3.859455,2.408126,1,63.0
Gl581,54253.118,-9.75,-0.012251,1.51E-4,0.017012,0.064857,-5.986083,4.081863,0.066274,0.052669,-1.639917,0.300414,-0.326432,0.767033,0.302313,0.97836,0.386562,0.385961,-0.140415,0.24008,2.723414,0.413086,-4.696874,15.001638,-9.098535,8.669677,-0.54064,0.603808,3.087267,3.298835,1,63.0
